en	ru	clusters
During World War II, Miller served as part of a bomber crew that participated in the destruction of the ancient Roman Catholic monastery at Monte Cassino, Italy, founded by St. Benedict in the 6th century.	Во время Второй мировой войны Миллер служил в экипаже бомбардировщика, который участвовал в уничтожении древнего римско-католического монастыря в Монте-Кассино (Италия), основанном Бенедиктом Нурсийским в VI веке.	World Wars
During World War II, Rose served in three armored divisions.	Во время Второй мировой войны Роуз служил в трёх бронетанковых дивизиях.	World Wars
During World War II, Rossby organized the training of military meteorologists, recruiting many of them to his Chicago department in the post-war years where he began adapting his mathematical description of atmospheric dynamics to weather forecasting by electronic computer, having started this activity in Sweden using BESK.	Во время Второй мировой войны Россби организовывал обучение военных метеорологов, принимая на работу многих из них в его Чикагский отдел в послевоенных годах, когда он начал адаптировать своё математическое описание атмосферной динамики к прогнозу погоды с помощью электронно-вычислительной машиной, начав этот процесс в Швеции, используя BESK.	World Wars
During World War II, Taylor again applied his expertise to military problems such as the propagation of blast waves, studying both waves in air and underwater explosions.	Во время Второй мировой войны Тейлор снова работал над применением своих знаний в военных целях, таких как распространение взрывных волн, подводные взрывы.	World Wars
During World War II, Terman directed a staff of more than 850 at the Radio Research Laboratory at Harvard University.	Во время Второй мировой войны Термен руководил более чем 850 сотрудниками Научно-исследовательской радиолаборатории в Гарвардском университете.	World Wars
During World War II, Thailand suffered a rice shortage due to the war and floods.	Во время Второй мировой войны Таиланд пострадал от нехватки риса из-за войны и наводнений.	World Wars
During World War II, US forces had an installation on the island called Bluie East Four.	В течение Второй мировой войны армия США имела на острове сооружение под названием Bluie East Four.	World Wars
During World War II, Wilson also performed for a brief time with the U.S. Navy, with musicians including Clark Terry, Willie Smith and Jimmy Nottingham, among others.	Во время Второй мировой войны Уилсон некоторое время путешествовал с военным флотом США в числе прочих музыкантов, среди которых были Кларк Терри, Уилли Смит и Джимми Ноттингем.	World Wars
During World War II, a Steimatzky store opened in Baghdad next to the British Army base, and soon after in Cairo, Alexandria, and Damascus.	В годы Второй мировой войны филиалы «Стеймацки» открываются в Багдаде, поблизости от британской военной базы, а затем в Каире, Александрии и Дамаске.	World Wars
During World War II, a temporary airfield protected the northern towns from bombing raids, but during the raids on Hamburg the airfield was destroyed and never rebuilt.	Во время Второй мировой войны, временный аэродром защищал северные города от налетов бомбардировщиков, но во время налетов на Гамбург аэродром не был разрушен и никогда не восстанавливался.	World Wars
During World War II, about 100 employees from GES-2 went to the frontline, to the militia and partisan detachments, only half returned.	В годы Великой Отечественной войны около 100 сотрудников ГЭС-2 ушли на фронт, в народное ополчение и партизанские отряды, вернулась только половина.	World Wars
During World War II, bananas were rationed and the company was forced to switch to vanilla cream.	В течение Второй мировой войны поставки бананов были ограничены и компания была вынуждена перейти на ванильный крем.	World Wars
During World War II, barracks were constructed there for British soldiers.	Во время Второй мировой войны здесь были построены бараки для британских солдат.	World Wars
During World War II, diplomatic relations between Mexico and Poland never ceased.	Во время Второй Мировой Войны, дипломатические отношения между Мексикой и Польшей не прекращались.	World Wars
During World War II, he developed contacts with Claus von Stauffenberg and the 20 July plot conspirators, including Carl Goerdeler.	Во время Второй мировой войны, он развивал контакты с Клаусом фон Штауффенбергом и другими участниками заговора 20 июля, в том числе Карлом Гёрделерем.	World Wars
During World War II, he had become a national hero and had been awarded the Medal of Honor for the unsuccessful defense of the Philippines in the Battle of Bataan.	Во время второй мировой войны Макартур стал национальным героем и был награждён медалью Почёта за безуспешную оборону Филиппин в ходе битвы за Батаан.	World Wars
During World War II, he worked for the Office of the Coordinator of Information in Washington as well as the Office of Strategic Services in North Africa.	Во время Второй мировой войны он работал в Службе координации информации в Вашингтоне, а также в Управлении стратегических служб в Северной Африке.	World Wars
During World War II, in 1940, the lev was pegged to the German Reichsmark at a rate of 32.75 leva = 1 Reichsmark.	Во время Второй мировой войны, в 1940 году, лев был привязан к рейхсмарке в размере 32,75 лева = 1 рейхсмарка.	World Wars
During World War II, in the period of the Italian Social Republic (or Salò Republic), three days after the Germans occupied Rome on 10 September 1943, Ferri bluffed his way back into the research facility at Guidonia, destroyed the vital equipment and filled a fruit crate with documents of his research before escaping underground.	Во время Второй мировой войны, в период Итальянской социальной республики («Сало Республика»), через три дня после оккупации немцами Рима 10 сентября 1943 года, Ферри инсценировал свой отъезд назад в научно-исследовательский центр в Гуидонию-Монтечельо, разрушил жизненно важное оборудование, заполнил фруктовый ящик документами своих исследований и ушёл в подполье.	World Wars
During World War II, it was often called Tokyo Standard Time.	Во времена второй мировой войны, оно часто называлось западными странами Токийское стандартное время.	World Wars
During World War II, most of the mass transit infrastructure in Warsaw was destroyed.	Во время Второй мировой войны большая часть инфраструктуры общественного транспорта в Варшаве была уничтожена.	World Wars
During World War II, much of the Berlin Zoo was destroyed.	Во время Второй Мировой Войны большая часть Берлинского зоопарка была разрушена.	World Wars
During World War II, services were continued, but in the spring of 1944 hooligans broke into the church and destroyed the altar with the altarpiece, the organ, the chairs and the windows.	Во время Второй мировой войны службы были продолжены, но весной 1944 года хулиганы ворвались в церковь и уничтожили алтарь, орган, стулья и окна.	World Wars
During World War II, several Soviet spy rings communicated to Moscow Centre using two ciphers which are essentially evolutionary improvements on the basic Nihilist cipher.	Во время Второй мировой войны многие советские шпионы общались с Москвой с использованием двух шифров, которые являлись существенно улучшенными версиями шифра нигилистов.	World Wars
During World War II, she left her teaching position and worked assisting Jewish refugees and London air-raid victims for the Assistance Board.	Во время Второй мировой войны оставила преподавательскую деятельность и помогала еврейским беженцам и лондонским военнослужащим в Совете содействия.	World Wars
During World War II, she played an important role in the campaign for equal economic opportunity and pay for women and the establishment of day care centers for working mothers.	Во время Второй мировой войны Флинн играла важную роль в кампании за равные с мужчинами экономические возможности для женщин (включая равную оплату за труд) и создание центров дневного ухода для работающих матерей.	World Wars
During World War II, she worked at a newspaper in Stockholm but moved back to Egypt after the war.	Во время Второй мировой войны работала корреспондентом газеты в Стокгольме, а после войны вернулась в Египет.	World Wars
During World War II, some of these communities served as refuge for pacifists.	Во время Второй Мировой войны некоторые из этих общин служили убежищами для пацифистов.	World Wars
During World War II, the Berlin Zoo was destroyed, but Saturn was discovered by British soldiers, who then gave the alligator to the Soviets in 1946.	Во время Второй Мировой Войны Берлинский зоопарк был разрушен, и Сатурн был обнаружен британскими солдатами, которые в 1946 году передали его СССР.	World Wars
During World War II, the British forces defended the islands' telecommunication devices against the Japanese advance.	Во время Второй мировой войны британские войска обороняли телекоммуникационные объекты островов от продвижения японцев.	World Wars
During World War II, the Duchess worked with the Red Cross and the Order of St John.	Во время Второй мировой войны герцогиня работала в Красном кресте и Ордене Святого Иоанна.	World Wars
During World War II, the Faroe Islands were separated from Denmark proper due to the occupations by the United Kingdom and Germany respectively.	В течение Второй мировой войны Фарерские острова были отделены от Дании из-за их оккупации Великобританией и Германией соответственно.	World Wars
During World War II, the Kriegsmarine produced many different types of U-boats as technology evolved.	За время Второй мировой войны Кригсмарине произвели большое число различных типов U-boat, в соответствии с развитием технологий.	World Wars
During World War II, the Minister of National Defence was assisted by two subordinate ministers, the Minister of National Defence for Air and Minister of National Defence for Naval Services.	В ходе Второй мировой войны министру национальной обороны помогали два младших министра: министр национальной обороны в воздухе и министр национальной обороны на море.	World Wars
During World War II, the Saruvian Empire invades and conquers the entire mainland of the United Sovereign Territories and only the southernmost island of Johnstown is free.	Во время Второй мировой войны Сарувийская Империя вторгается и завоевывает весь материк Объединенных Верховных Территорий, и только самый южный остров Джейнстауна ещё имеет силы сопротивляться.	World Wars
"During World War II, the Soviet soldiers dubbed the 45 mm anti-tank gun M1937 (53-K) ""Good bye, Motherland!"", as its penetration was proving to be inadequate for the task of destroying German tanks, meaning a crew operating one was practically defenseless against the enemy tanks."	Во время Второй мировой войны советские воины окрестили 45 мм противотанковую пушку M1937 (53-К) «прощай, Родина!», поскольку она не могла уничтожать немецкие танки, и, значит, ее расчет был практически беззащитен против них.	World Wars
During World War II, the Three Cities were heavily bombed by the Italians and Germans, and they were rebuilt in the 1950s and 1960s.	Во время Второй мировой войны три города бомбили итальянцы и немцы, и они были перестроены в 1950-60 годах.	World Wars
During World War II, the U.S. Army commissioned Fuller to send these housing units to the Persian Gulf.	Во время второй мировой войны американская армия поручила Фуллеру послать такие дома в Персидский залив.	World Wars
During World War II, the U.S. Government built the Naval Ammunition Plant a few miles south of McAlester.	Во время Второй мировой войны правительство США построило Военно-морской боевой завод в нескольких милях к югу от Макалестера.	World Wars
During World War II, the United States couldn't obtain natural rubber from Asian suppliers, who gathered it from rubber trees.	Во время Второй мировой войны Соединенные Штаты не могли получать натуральный каучук от азиатских поставщиков, которые добывали его с каучуковых деревьев.	World Wars
During World War II, the Vichy government collaborated with Nazi occupiers to deport numerous French and foreign Jewish refugees to concentration camps.	Во время Второй мировой войны правительство Виши сотрудничало с нацистскими оккупантами для депортации многочисленных французских и иностранных еврейских беженцев в концентрационные лагеря.	World Wars
During World War II, the city played an important part in the Battle of the Atlantic.	Во вторую мировую войну город сыграл большую роль в Битве за Атлантику.	World Wars
During World War II, the club temporarily ceased to exist and was then reorganised under the name of NK Tekstilac in 1945.	Во время Второй мировой войны клуб временно прекратил своё существование и был реорганизован под названием «Tekstilac» в 1945 году.	World Wars
During World War II, ties between RCA Victor and its Japanese affiliate JVC were severed.	В течение Второй мировой войны связи между RCA и его японским филиалом JVC были разорваны.	World Wars
During World War II, two conferences were held in Quebec City.	Во время Второй мировой войны в Квебеке были проведены две конференции.	World Wars
During World War II, various nations made improvised anti-tank grenades by putting a number of defensive high explosive grenades into a sandbag.	Во время Второй мировой войны, солдаты всех армий делали импровизированные противотанковые гранаты, укладывая несколько оборонительных фугасных гранат в мешок.	World Wars
"During World War II, when Malta was under siege, Manoel Island and its fort were used as a naval base by the Royal Navy's 10th Submarine Flotilla, at which time it was referred to as ""HMS Talbot"" or ""HMS Phœnicia""."	Во время Второй мировой войны, когда Мальта находилась в осаде, остров Маноэль и его форт использованлись в качестве военно-морской базы 10-й подводной флотилии Королевского флота, в это время он упоминался как «HMS Talbot» или «HMS Phnicnicia».	World Wars
During World War II, while living in northern Manhattan, New York City, the Caplans founded a workshop on 95th Street to manufacture and sell wooden toys for children.	Во время Второй Мировой войны семья Каплан жила в северном Манхеттене, в Нью-Йорке, и основала там на 95й улице фабрику и магазин деревянных игрушек для детей.	World Wars
During World War II, widespread civilian casualties and damage to civilian property were caused by strategic bombing of enemy cities.	Во время Второй мировой войны широко распространённые жертвы среди гражданского населения и повреждение гражданской собственности были вызваны стратегической бомбежкой вражеских городов.	World Wars
During World War One, a number of British colonies introduced a temporary levy on correspondence in order to raise funds for expenditure incurred in connection with the war.	Во время Первой мировой войны, ряд британских колоний ввела временный налог на переписку с целью сбора средств на расходы, понесенные в связи с войной.	World Wars
During World War Two, Western New Guinea was occupied by the Japanese but was later recaptured by the Allies, who restored Dutch rule over the territory.	В период Второй мировой войны Западная Новая Гвинея была оккупирована японцами, но позже была захвачена союзниками, которые восстановили нидерландское правление над территорией.	World Wars
During World War II American and Australian troops stationed in New Guinea were warned to steer clear of them.	Во время Второй мировой войны американские и австралийские военные, располагающиеся в Новой Гвинее, были проинструктированы о том, чтобы избегать контакта с этими птицами.	World Wars
During a hearing in January 2016, US District Judge William Orrick III said that the copyright law does not extend its protection to animals.	Во время слушаний в январе 2016 года Окружной судья США Уильям Оррик заявил, что авторское право не распространяется на животных.	Copyright
During and after World War II, Massey Harris undertook a number of contracts to produce tractors, tanks and self-propelled artillery vehicles for the U.S. Military.	Во время и после Второй мировой войны Massey-Harris выполнил ряд контрактов на поставку тягачей, танков и самоходных артиллерийских установок для американской армии.	World Wars
During and after the Spanish Civil War and World War II, Spain found herself both politically and economically isolated.	Во время и после Гражданской и II мировой войны Испания была политически и экономически изолирована.	World Wars
During and immediately after World War II, Cyprus became a transit point for Jewish Holocaust survivors trying to reach Mandate Palestine.	Во время и сразу после окончания Второй мировой войны Кипр стал транзитным пунктом для евреев, выживших в Холокосте, которые хотели попасть в подмандатную Палестину.	World Wars
During first three years of existence, Ukraina played mostly with other ethnic Ukrainian sides from Galicia, and in 1914, with outbreak of World War I, the club ceased its activities.	В течение первых трёх лет существования «Украина» играла в основном с другими этническими украинцами, в 1914 году во время Первой мировой войны клуб прекратил свою деятельность.	World Wars
During his absence, Cardinal Jacques d'Euse, the future Pope John XXII, acted as his substitute.	В период его отсутствия, кардинал Жак д'Юэз (будущий папа римский Иоанн XXII) исполнял обязанности как его заместитель.	Vatican
During his tenure as Register, Solberg played an active role in advancing United States copyright law.	В течение своего срока пребывания в качестве регистра, Солберг играл активную роль в развитии авторского права в Соединенных Штатах.	Copyright
During his tenure, the Cardinal became a close confidant of Pope John Paul, and served as a special papal envoy to several religious celebrations and events in an array of different countries.	В период своего срока пребывания, кардинал стал близким доверенным лицом папы Иоанна Павла II, и служил специальным папским легатом на нескольких религиозных празднованиях и событиях во множестве различных стран.	Vatican
During one of the dives, Katya finds a fragment of a life jacket with the number of a German submarine from the time of the Second World War.	Во время одного из погружений Катя находит фрагмент спасательного жилета с номером немецкой подлодки времен Второй мировой.	World Wars
During the 1920s and 1930s Iraq, Syria and Egypt moved towards independence, although the British and French did not formally depart the region until after World War II.	В 1920-е и 1930-е годы Ирак, Сирия и Египет стали фактически независимыми, хотя британцы и французы формально не покидали регион до окончания Второй мировой войны.	World Wars
During the 1970s, Katsuichi Honda wrote a series of articles for the Asahi Shimbun on war crimes committed by Japanese soldiers during World War II (such as the Nanjing Massacre).	В 1970-е годы Кацуити Хонда написал для газеты Asahi Shimbun серию статей о военных преступлениях, совершённых японскими солдатами во время Второй мировой войны (в том числе о Нанкинской резне).	World Wars
During the 1980s, the WJC persuaded Pope John II to come out in favor of the removal of a convent of Carmelite nuns which had opened near the site of the former Nazi death camp Auschwitz.	В 1980-х годах ВЕК убедил Папу Иоанна II выступить за ликвидацию монастыря кармелитских монахинь, который открылся возле места бывшего нацистского лагеря смерти Освенцим.	Vatican
During the 1990s and 2000s, at the behest of the World Jewish Congress a total of 17 European countries established special committees to look into their role during World War II.	В 1990-х и 2000-х годах по инициативе Всемирного Еврейского Конгресса в общей сложности 17 европейских стран создали специальные комитеты для изучения их роли во время Второй мировой войны.	World Wars
During the Balkan Campaign of World War I, several bands of Albanian Tosks and Ghegs supported with their activity the armed operations of the Central Powers in the region.	Во время Балканской кампании Первой мировой войны, несколько группировок албанских тосков и гегов поддерживали вооруженные операций Центральных держав в регионе.	World Wars
During the First World War Lagonda made artillery shells.	В годы Первой мировой войны Lagonda производила артиллерийские снаряды.	World Wars
During the First World War NF Drozdov contributed to the development of artillery armament and the production of artillery.	Во время Первой мировой войны Н. Ф. Дроздов способствовал развитию артиллерийского вооружения и производства артиллерии.	World Wars
During the First World War Tornio and Haparanda had the only rail link connecting the Russians to their Western allies.	В течение Первой Мировой Торнио и Хапаранда имели единственную железнодорожную связь России и Западных союзников.	World Wars
During the First World War Umberto volunteered to serve in the Royal Italian Army.	Во время Первой мировой войны Умберто добровольцем пошёл служить в действующую армию итальянского королевства.	World Wars
"During the First World War a lady in London asked why he was not ""out at the Front""; he replied, ""If you go round to the side, you will see that I am."""	Во время Первой мировой войны девушка в Лондоне задала ему вопрос, почему он не «далеко на передовой»; Честертон ответил: «если вы зайдёте со стороны, то увидите, что я вполне себе там».	World Wars
During the First World War he worked with the Union of Cities and was the Moscow Commissioner of the Special Meeting on Fuel.	В годы Первой мировой войны работал во Всероссийском Союзе городов, являлся московским уполномоченным Особого совещания по топливу.	World Wars
During the First World War she served in hospitals in Egypt and France and was one of only seven Australian nurses decorated with the Military Medal for gallantry.	Во время Первой мировой войны Элис служила в госпиталях в Египте и Франции и была одной из семи австралийских медицинских сестёр, награждённых за храбрость Воинской медалью.	World Wars
"During the First World War, Borden governed from a united party with a Cabinet of 12 Conservatives, 9 Liberals and Independents, and 1 ""Labour"" MP."	Во время Первой мировой войны Борден управляет страной с помощью объединённой партии с советом министров, состоящим из 12 консерваторов, 9 либералов, нескольких независимых депутатов и 1 «лейбориста».	World Wars
During the First World War, Prince Arthur served as aide-de-camp to Generals Sir John French and Sir Douglas Haig, the successive commanders of the British Expeditionary Force in France and Belgium.	Во время Первой мировой войны принц Артур служил адъютантом у генералов Джона Френча и Дугласа Хейга, командующих Британским экспедиционным корпусом во Франции и Бельгии.	World Wars
During the First World War, Tawney served as a Sergeant in the 22nd Manchester Regiment.	Во время Первой мировой войны Тоуни служил сержантом в 22-м полку Манчестера.	World Wars
During the First World War, Togoland was invaded by Britain and France.	Во время Первой Мировой войны Тоголенд был оккупирован Великобританией и Францией.	World Wars
During the First World War, from 1915 the Sindelfingen factory produced large numbers of winged aircraft and aircraft engines.	С 1915 года во время Первой мировой войны завод в Зиндельфингене выпускал большое количество крылатых летательных аппаратов и авиационных двигателей.	World Wars
During the First World War, he did military service, fought on the Russian and Italian fronts, but he also took part in the House of Representatives' wartime session.	Во время Первой мировой войны воевал на русском и итальянском фронтах, одновременно участвовал в работе Палаты представителей.	World Wars
During the First World War, he served as the secretary of a national food relief committee in Antwerp.	Во время Первой мировой войны служил секретарём национального комитета по продовольственной помощи в Антверпене.	World Wars
During the First World War, the financial situation of the hospital changed dramatically, due to the fact that the testamentary and founding provisions were devalued.	Во время Первой мировой войны резко изменилась финансовая ситуация больницы, из-за того, что все учредительные и завещательные документы утратили силу.	World Wars
During the First World War, the squadrons retained their distinct identities and 'Eastern Fleet' was used only as a general term.	Во время Первой мировой войны директива в действие приведена не была, эскадры действовали независимо, а словосочетание «Восточный флот» использовалось лишь как обобщающий термин.	World Wars
During the First World War, the town was home to a major munitions plant owned by the British Chemical Company.	В годы первой мировой войны в городе располагался крупный завод боеприпасов Британской химической компании.	World Wars
During the German occupation in World War II his father worked for a German bank, which also dealt with confiscated Jewish assets.	Во время немецкой оккупации во Вторую мировую войну, он работал в немецком банке, который также хранил конфискованные сбережения евреев.	World Wars
During the German occupation in the Second World War, the Grand Ducal Palace was used by the Nazis as a concert hall and tavern.	Во время немецкой оккупации во Второй мировой войне Дворец Великих Герцогов использовался нацистами в качестве музыкального зала и таверны.	World Wars
During the German occupation of Belgium in World War I, Franck (under the influence of the Belgian king and the government) acted as the President of a Intercommunale Commissie van Notabelen, the actual head of Antwerp and the neighbouring municipalities.	Во время немецкой оккупации Бельгии в Первой мировой войне, Франк (под влиянием бельгийского короля и правительства) выступал в качестве президента Intercommunale Commissie van Notabelen, фактическим главой Антверпена и соседних муниципалитетов.	World Wars
During the German occupation of Estonia in World War II, Maide was Chief of Staff, and later Commander of the Omakaitse (Home Guard), a militia based on the Estonian Defence League.	Во время немецкой оккупации Эстонии во Второй мировой войне Майде был начальником штаба, а затем командиром Омакайтсе (домашней гвардии), ополченцем, основанным на Лиге обороны Эстонии.	World Wars
During the German occupation of Yugoslavia in World War II, Stari Trg, the centerpiece mine, supplied 40 percent of lead used in the Nazi war industry.	Во время немецкой оккупации Югославии в период Второй мировой войны эта шахта поставляла 40 % свинца, используемого в нацистской военной промышленности.	World Wars
During the Great Depression of the 1930s, the Arlington area was the site of major projects undertaken for employment under the direction of federal relief agencies, including construction of a municipal airport that would serve as a naval air station during World War II.	Во время Великой Депрессии 1930-х годов в районе Арлингтона осуществлялись крупные проекты по трудоустройству под руководством федеральных агентств, включая строительство муниципального аэропорта, который служил военно-воздушной станцией во время Второй мировой войны.	World Wars
During the Greek administration, and while the First World War continued, it had been agreed between Greece, Italy and the Great Powers that the final settlement of the Northern Epirote issue should be left to the future, after the war ended.	Греческая администрация во время Первой мировой войны договорилась с Грецией, Италией и великими державами, что окончательное урегулирование вопроса Северного Эпира следует оставить на будущее, после окончания войны.	World Wars
During the Second Polish Republic and World War II it was called the Ministry of Military Affairs (Ministerstwo Spraw Wojskowych).	Во время Второй Польской Республики и Второй мировой войны оно называлось Министерством военных дел.	World Wars
During the Second World War Enschede was one of the first Dutch cities to be captured by German troops, being the city closest to Germany.	Во время Второй мировой войны Энсхеде стал одним из первых нидерландских городов, захваченных немцами, поскольку город находится недалеко от Германии.	World Wars
During the Second World War an extensive military encampment was established in the south-east quarter of the park, which was only restored after the National Trust took ownership.	Во время Второй мировой войны 2 в юго-восточной части парка был создан обширный военный лагерь, и она была восстановлена только после того, как Национальный фонд принял имение в собственность.	World Wars
During the Second World War and Leon Garros and Boris Vaganov escape from a Nazi concentration camp.	Во время Второй мировой войны француз Леон Гаррос и Борис Ваганов совершают побег из фашистского концлагеря.	World Wars
During the Second World War from August 1941 to March 1944 the Institute ceased operations.	Во время Второй мировой войны с августа 1941 года и до марта 1944 институт остановил свою деятельность.	World Wars
During the Second World War members of many Christian churches were persecuted in Germany for resisting the Nazi ideology.	Во время Второй мировой войны члены некоторых христианских церквей подвергались преследованиям в нацистской Германии за сопротивление нацистской идеологии.	World Wars
During the Second World War she emigrated with most of her family to the United States to escape the Nazis.	Во время Второй мировой войны она эмигрировала с большей частью своей семьи в США, чтобы спастись от нацистов.	World Wars
During the Second World War the 10th infantry regiment of the Greek Army, composed mainly of Corfiot soldiers, was assigned the task of defending Corfu.	В ходе Второй мировой войны 10-я пехотная дивизия Греческой армии, состоявшая в основном из корфских солдат, имела своей задачей защиту острова.	World Wars
During the Second World War the company produced corvettes, frigates, landing ships, and transport ferries for the Royal Navy and Royal Canadian Navy, as well as freighters.	Во время Второй Мировой Войны компания производила корветы, фрегаты, десантные корабли и транспортные паромы для Королевского военно-морского флота и Королевского канадского военно-морского флота, а также самолеты.	World Wars
During the Second World War the majority of the pier, at the time one of the longest in the country and complete with its own train, was purposely demolished by the Royal Engineers to prevent it from being used as an easy landing point for enemy troops.	Во время Второй мировой войны большая часть пирса, в то время длиннейшего в Англии и полностью оборудованного, была преднамеренно демонтирована Королевскими инженерами для предотвращения его использования как легкой точки высадки войск противника.	World Wars
During the Second World War this model, especially in a cabriolet version was designed primarily for Nazi Germany's high rank commanders and officers.	Во время Второй Mировой войны эта модель, особенно в версии кабриолет производилась в первую очередь для командиров и офицеров высокого ранга Нацистской Германии.	World Wars
During the Second World War, Bate transferred from the Natural History Museum's department of geology in London to its zoological branch at Tring, and in 1948, a few months short of her seventieth birthday, she was appointed officer-in-charge there.	Во время Второй мировой войны Бейт была переведена из отдела геологии Музея естественной истории в Лондоне в его зоологический отдел в Тринге и в 1948 году, за несколько месяцев до её семидесятого дня рождения, она была назначена исполняющей обязанности его руководителя.	World Wars
During the Second World War, British and German civilian aircraft operated from the same facilities at Portela, and Allied and Axis spies watched the incoming and outgoing traffic.	Во время Второй мировой войны британские и немецкие гражданские самолёты эксплуатировались из одних и тех же объектов в Портеле, а входящий и исходящий трафик наблюдались шпионами союзников и Оси.	World Wars
During the Second World War, Forest of Bojčin was a very important political, military and economic center.	В период Второй мировой войны Бойчинский лес был очень важным политическим, военным и экономическим центром.	World Wars
